hand,equity
AA,0.8214285714285714
AKs,0.7023809523809523
AQs,0.6339285714285714
AJs,0.6845238095238095
ATs,0.5654761904761905
A9s,0.5863095238095238
A8s,0.6190476190476191
A7s,0.5625
A6s,0.6011904761904762
A5s,0.625
A4s,0.6488095238095238
A3s,0.6041666666666666
A2s,0.5208333333333334
AKo,0.6785714285714286
KK,0.7857142857142857
KQs,0.5982142857142857
KJs,0.6309523809523809
KTs,0.5476190476190477
K9s,0.5565476190476191
K8s,0.5565476190476191
K7s,0.5803571428571429
K6s,0.5595238095238095
K5s,0.4880952380952381
K4s,0.5089285714285714
K3s,0.5357142857142857
K2s,0.5267857142857143
AQo,0.5892857142857143
KQo,0.6458333333333334
QQ,0.8184523809523809
QJs,0.6190476190476191
QTs,0.5833333333333334
Q9s,0.5744047619047619
Q8s,0.49404761904761907
Q7s,0.5565476190476191
Q6s,0.5416666666666666
Q5s,0.5029761904761905
Q4s,0.5238095238095238
Q3s,0.5089285714285714
Q2s,0.4851190476190476
AJo,0.6160714285714286
KJo,0.6160714285714286
QJo,0.5714285714285714
JJ,0.7946428571428571
JTs,0.5773809523809523
J9s,0.5446428571428571
J8s,0.5535714285714286
J7s,0.5178571428571429
J6s,0.4226190476190476
J5s,0.5565476190476191
J4s,0.4494047619047619
J3s,0.4017857142857143
J2s,0.5
ATo,0.5714285714285714
KTo,0.5773809523809523
QTo,0.5654761904761905
JTo,0.5773809523809523
TT,0.7946428571428571
T9s,0.5238095238095238
T8s,0.5029761904761905
T7s,0.5148809523809523
T6s,0.48214285714285715
T5s,0.47023809523809523
T4s,0.4494047619047619
T3s,0.41964285714285715
T2s,0.42857142857142855
A9o,0.6815476190476191
K9o,0.5922619047619048
Q9o,0.5208333333333334
J9o,0.49107142857142855
T9o,0.5446428571428571
99,0.6517857142857143
98s,0.49107142857142855
97s,0.44047619047619047
96s,0.47023809523809523
95s,0.48214285714285715
94s,0.48214285714285715
93s,0.47619047619047616
92s,0.35714285714285715
A8o,0.6220238095238095
K8o,0.5505952380952381
Q8o,0.5327380952380952
J8o,0.5148809523809523
T8o,0.49702380952380953
98o,0.43154761904761907
88,0.7529761904761905
87s,0.5089285714285714
86s,0.47619047619047616
85s,0.44642857142857145
84s,0.39285714285714285
83s,0.39880952380952384
82s,0.43452380952380953
A7o,0.5357142857142857
K7o,0.5684523809523809
Q7o,0.5327380952380952
J7o,0.5059523809523809
T7o,0.46726190476190477
97o,0.43452380952380953
87o,0.49107142857142855
77,0.5863095238095238
76s,0.41964285714285715
75s,0.4107142857142857
74s,0.41369047619047616
73s,0.44345238095238093
72s,0.3125
A6o,0.5863095238095238
K6o,0.5297619047619048
Q6o,0.44047619047619047
J6o,0.4851190476190476
T6o,0.46130952380952384
96o,0.39880952380952384
86o,0.3898809523809524
76o,0.38095238095238093
66,0.6101190476190477
65s,0.3482142857142857
64s,0.33630952380952384
63s,0.37202380952380953
62s,0.3630952380952381
A5o,0.5744047619047619
K5o,0.5476190476190477
Q5o,0.46130952380952384
J5o,0.4583333333333333
T5o,0.4375
95o,0.39880952380952384
85o,0.3601190476190476
75o,0.37202380952380953
65o,0.40773809523809523
55,0.5892857142857143
54s,0.48214285714285715
53s,0.4375
52s,0.44345238095238093
A4o,0.5625
K4o,0.5208333333333334
Q4o,0.4583333333333333
J4o,0.5178571428571429
T4o,0.4523809523809524
94o,0.4255952380952381
84o,0.3541666666666667
74o,0.3601190476190476
64o,0.42857142857142855
54o,0.4107142857142857
44,0.5505952380952381
43s,0.375
42s,0.3482142857142857
A3o,0.5148809523809523
K3o,0.3898809523809524
Q3o,0.5684523809523809
J3o,0.4732142857142857
T3o,0.38095238095238093
93o,0.3869047619047619
83o,0.3601190476190476
73o,0.3541666666666667
63o,0.36607142857142855
53o,0.3125
43o,0.33630952380952384
33,0.5803571428571429
32s,0.3869047619047619
A2o,0.5684523809523809
K2o,0.5089285714285714
Q2o,0.43452380952380953
J2o,0.3869047619047619
T2o,0.38095238095238093
92o,0.30952380952380953
82o,0.37797619047619047
72o,0.3392857142857143
62o,0.33630952380952384
52o,0.28869047619047616
42o,0.3273809523809524
32o,0.3392857142857143
22,0.5178571428571429
