,Unnamed: 0,hand,equity,Rank,raise,call
0,0,AA,0.8489461309523809,1,1.0,0.0
1,1,KK,0.8194645833333334,2,1.0,0.0
2,2,QQ,0.7952205357142856,3,1.0,0.0
3,3,JJ,0.7693107142857143,4,1.0,0.0
4,4,TT,0.742494642857143,5,1.0,0.0
5,5,99,0.716345238095238,6,1.0,0.0
6,6,88,0.6877098214285715,7,1.0,0.0
7,7,AKs,0.6636973214285714,8,1.0,0.0
8,8,77,0.6571130952380952,9,1.0,0.0
9,9,AQs,0.6524747023809523,10,1.0,0.0
10,10,AJs,0.642885119047619,11,1.0,0.0
11,11,AKo,0.6413880952380953,12,1.0,0.0
12,12,ATs,0.6347880952380953,13,1.0,0.0
13,13,AQo,0.6339419642857143,14,1.0,0.0
14,14,66,0.6295154761904762,15,1.0,0.0
15,15,KQs,0.6270797619047619,16,1.0,0.0
16,16,AJo,0.6238985119047619,17,1.0,0.0
17,17,KJs,0.6168068452380953,18,1.0,0.0
18,18,A9s,0.61524375,19,1.0,0.0
19,19,ATo,0.614819642857143,20,1.0,0.0
20,20,KQo,0.6070464285714285,21,1.0,0.0
21,21,KTs,0.6058306547619048,22,1.0,0.0
22,22,A8s,0.6057047619047619,23,1.0,0.0
23,23,55,0.5994428571428572,24,1.0,0.0
24,24,A7s,0.597341369047619,25,1.0,0.0
25,25,KJo,0.5964092261904762,26,1.0,0.0
26,26,A9o,0.5947767857142857,27,1.0,0.0
27,27,QJs,0.5942238095238095,28,1.0,0.0
28,28,K9s,0.5895910714285714,29,1.0,0.0
29,29,KTo,0.5859336309523809,30,1.0,0.0
30,30,A5s,0.584766369047619,31,1.0,0.0
31,31,A6s,0.5846252976190476,32,1.0,0.0
32,32,A8o,0.5843160714285714,33,1.0,0.0
33,33,QTs,0.5842315476190476,34,1.0,0.0
34,34,A4s,0.5763848214285714,35,1.0,0.0
35,35,A7o,0.5737895833333333,36,1.0,0.0
36,36,QJo,0.5722136904761905,37,1.0,0.0
37,37,K8s,0.57175,38,1.0,0.0
38,38,A3s,0.5695815476190477,39,1.0,0.0
39,39,JTs,0.5685130952380952,40,1.0,0.0
40,40,44,0.5676866071428571,41,1.0,0.0
41,41,Q9s,0.5656550595238096,42,1.0,0.0
42,42,K9o,0.565047619047619,43,1.0,0.0
43,43,QTo,0.5641300595238096,44,1.0,0.0
44,44,A5o,0.5626098214285714,45,1.0,0.0
45,45,K7s,0.5620151785714287,46,1.0,0.0
46,46,A6o,0.561502380952381,47,1.0,0.0
47,47,A2s,0.5593872023809523,48,1.0,0.0
48,48,K6s,0.5543866071428571,49,1.0,0.0
49,49,A4o,0.5518776785714286,50,1.0,0.0
50,50,Q8s,0.548577380952381,51,1.0,0.0
51,51,K8o,0.5472589285714285,52,1.0,0.0
52,52,J9s,0.5457428571428571,53,1.0,0.0
53,53,K5s,0.5450502976190476,54,1.0,0.0
54,54,JTo,0.5444964285714287,55,1.0,0.0
55,55,A3o,0.5443104166666667,56,1.0,0.0
56,56,Q9o,0.5431464285714286,57,1.0,0.0
57,57,K7o,0.5387330357142858,58,1.0,0.0
58,58,K4s,0.5348529761904762,59,1.0,0.0
59,59,A2o,0.5344669642857143,60,1.0,0.0
60,60,33,0.5344110119047618,61,1.0,0.0
61,61,T9s,0.5310303571428572,62,1.0,0.0
62,62,J8s,0.5299282738095238,63,1.0,0.0
63,63,Q7s,0.5294476190476191,64,1.0,0.0
64,64,K6o,0.5291470238095238,65,0.0,1.0
65,65,K3s,0.5276571428571428,66,1.0,0.0
66,66,Q8o,0.5252086309523809,67,0.0,1.0
67,67,J9o,0.5234154761904761,68,1.0,0.0
