,Unnamed: 0,hand,equity,Rank,raise,call
0,0,AA,0.8489461309523809,1,1.0,0.0
1,1,KK,0.8194645833333334,2,1.0,0.0
2,2,QQ,0.7952205357142856,3,1.0,0.0
3,3,JJ,0.7693107142857143,4,1.0,0.0
4,4,TT,0.742494642857143,5,1.0,0.0
5,5,99,0.716345238095238,6,0.5,0.5
6,6,88,0.6877098214285715,7,0.0,1.0
7,7,AKs,0.6636973214285714,8,1.0,0.0
8,8,77,0.6571130952380952,9,0.0,0.5
9,9,AQs,0.6524747023809523,10,0.5,0.5
10,10,AJs,0.642885119047619,11,0.5,0.5
11,11,AKo,0.6413880952380953,12,0.75,0.25
12,12,ATs,0.6347880952380953,13,0.3333333333333333,0.6666666666666666
13,13,AQo,0.6339419642857143,14,0.3333333333333333,0.6666666666666666
14,14,66,0.6295154761904762,15,0.5,0.0
15,15,KQs,0.6270797619047619,16,0.5,0.5
16,16,AJo,0.6238985119047619,17,0.0,1.0
17,17,KJs,0.6168068452380953,18,0.0,1.0
18,18,A9s,0.61524375,19,0.0,0.5
19,19,ATo,0.614819642857143,20,0.0,0.5
20,20,KQo,0.6070464285714285,21,0.0,1.0
21,21,KTs,0.6058306547619048,22,0.0,0.5
22,25,KJo,0.5964092261904762,26,0.0,0.25
23,27,QJs,0.5942238095238095,28,0.0,1.0
24,30,A5s,0.584766369047619,31,1.0,0.0
25,33,QTs,0.5842315476190476,34,0.0,0.5
26,34,A4s,0.5763848214285714,35,1.0,0.0
27,38,A3s,0.5695815476190477,39,0.3333333333333333,0.0
28,39,JTs,0.5685130952380952,40,0.5,0.5
29,40,44,0.5676866071428571,41,0.17,0.0
30,47,A2s,0.5593872023809523,48,0.3333333333333333,0.0
31,60,33,0.5344110119047618,61,0.17,0.0
32,61,T9s,0.5310303571428572,62,0.5,0.5
33,79,22,0.5021514880952381,80,0.17,0.0
34,82,98s,0.4986044642857142,83,0.0,1.0
35,99,87s,0.4708324404761905,100,0.0,0.5
36,114,76s,0.4431485119047619,115,0.0,0.3333333333333333
