,Unnamed: 0,hand,equity,Rank,raise,call
0,0,AA,0.8489461309523809,1,1.0,0.0
1,1,KK,0.8194645833333334,2,1.0,0.0
2,2,QQ,0.7952205357142856,3,1.0,0.0
3,3,JJ,0.7693107142857143,4,1.0,0.0
4,4,TT,0.742494642857143,5,1.0,0.0
5,5,99,0.716345238095238,6,1.0,0.0
6,6,88,0.6877098214285715,7,0.0,0.6666666666666666
7,7,AKs,0.6636973214285714,8,1.0,0.0
8,8,77,0.6571130952380952,9,0.0,0.5
9,9,AQs,0.6524747023809523,10,1.0,0.0
10,10,AJs,0.642885119047619,11,1.0,0.0
11,11,AKo,0.6413880952380953,12,1.0,0.0
12,12,ATs,0.6347880952380953,13,0.5,0.5
13,13,AQo,0.6339419642857143,14,1.0,0.0
14,15,KQs,0.6270797619047619,16,1.0,0.0
15,16,AJo,0.6238985119047619,17,0.5,0.5
16,17,KJs,0.6168068452380953,18,0.5,0.5
17,18,A9s,0.61524375,19,0.0,0.6666666666666666
18,19,ATo,0.614819642857143,20,0.0,0.5
19,20,KQo,0.6070464285714285,21,0.3333333333333333,0.6666666666666666
20,27,QJs,0.5942238095238095,28,0.0,0.5
21,30,A5s,0.584766369047619,31,0.25,0.0
22,34,A4s,0.5763848214285714,35,0.25,0.0
23,39,JTs,0.5685130952380952,40,0.5,0.5
24,61,T9s,0.5310303571428572,62,0.5,0.5
25,82,98s,0.4986044642857142,83,0.0,0.5
26,99,87s,0.4708324404761905,100,0.0,0.3333333333333333
