,Unnamed: 0,hand,equity,Rank,raise,call
0,0,AA,0.8489461309523809,1,1.0,0.0
1,1,KK,0.8194645833333334,2,1.0,0.0
2,2,QQ,0.7952205357142856,3,1.0,0.0
3,3,JJ,0.7693107142857143,4,1.0,0.0
4,4,TT,0.742494642857143,5,0.66,0.33
5,5,99,0.716345238095238,6,0.33,0.66
6,6,88,0.6877098214285715,7,0.33,0.66
7,7,AKs,0.6636973214285714,8,1.0,0.0
8,9,AQs,0.6524747023809523,10,0.5,0.5
9,10,AJs,0.642885119047619,11,0.0,0.5
10,11,AKo,0.6413880952380953,12,0.75,0.25
11,13,AQo,0.6339419642857143,14,0.0,1.0
12,15,KQs,0.6270797619047619,16,0.25,0.75
13,16,AJo,0.6238985119047619,17,0.0,0.5
14,17,KJs,0.6168068452380953,18,0.0,0.5
15,20,KQo,0.6070464285714285,21,0.0,1.0
16,27,QJs,0.5942238095238095,28,0.0,1.0
17,30,A5s,0.584766369047619,31,1.0,0.0
18,39,JTs,0.5685130952380952,40,0.0,1.0
19,40,44,0.5676866071428571,41,0.17,0.0
20,44,A5o,0.5626098214285714,45,0.33,0.0
21,47,A2s,0.5593872023809523,48,1.0,0.0
22,60,33,0.5344110119047618,61,0.17,0.0
23,61,T9s,0.5310303571428572,62,0.0,1.0
24,79,22,0.5021514880952381,80,0.17,0.0
25,82,98s,0.4986044642857142,83,0.0,1.0
26,99,87s,0.4708324404761905,100,0.0,1.0
27,114,76s,0.4431485119047619,115,0.5,0.0
