,Unnamed: 0,hand,equity,Rank,raise,call
0,0,AA,0.8489461309523809,1,1.0,0.0
1,1,KK,0.8194645833333334,2,1.0,0.0
2,2,QQ,0.7952205357142856,3,1.0,0.0
3,3,JJ,0.7693107142857143,4,1.0,0.0
4,4,TT,0.742494642857143,5,0.66,0.33
5,5,99,0.716345238095238,6,0.0,1.0
6,6,88,0.6877098214285715,7,0.0,0.5
7,7,AKs,0.6636973214285714,8,1.0,0.0
8,8,77,0.6571130952380952,9,0.5,0.0
9,9,AQs,0.6524747023809523,10,0.5,0.5
10,10,AJs,0.642885119047619,11,0.0,0.5
11,11,AKo,0.6413880952380953,12,0.75,0.25
12,13,AQo,0.6339419642857143,14,0.0,1.0
13,15,KQs,0.6270797619047619,16,0.25,0.75
14,17,KJs,0.6168068452380953,18,0.0,0.5
15,20,KQo,0.6070464285714285,21,0.0,1.0
16,27,QJs,0.5942238095238095,28,0.0,1.0
17,30,A5s,0.584766369047619,31,0.75,0.0
18,34,A4s,0.5763848214285714,35,0.75,0.0
19,38,A3s,0.5695815476190477,39,0.75,0.0
20,39,JTs,0.5685130952380952,40,0.0,1.0
21,47,A2s,0.5593872023809523,48,0.75,0.0
22,61,T9s,0.5310303571428572,62,0.0,1.0
23,82,98s,0.4986044642857142,83,0.5,0.5
