hand,equity
AA,0.8492559523809523
AKs,0.6618690476190475
AQs,0.6520654761904762
AJs,0.6412202380952381
ATs,0.6361130952380952
A9s,0.6171726190476191
A8s,0.608125
A7s,0.5944999999999999
A6s,0.5805059523809524
A5s,0.5839464285714286
A4s,0.5770595238095237
A3s,0.5686488095238095
A2s,0.5605059523809524
AKo,0.6440833333333332
KK,0.8182738095238096
KQs,0.6233154761904762
KJs,0.6191607142857143
KTs,0.6074464285714285
K9s,0.5867559523809524
K8s,0.5668392857142858
K7s,0.56475
K6s,0.5531904761904761
K5s,0.5433452380952382
K4s,0.5338928571428572
K3s,0.5274761904761904
K2s,0.5219107142857143
AQo,0.6353392857142857
KQo,0.6060059523809525
QQ,0.7951428571428572
QJs,0.5951607142857144
QTs,0.5857857142857144
Q9s,0.568047619047619
Q8s,0.550125
Q7s,0.5306785714285714
Q6s,0.5224345238095238
Q5s,0.5162380952380953
Q4s,0.5061071428571429
Q3s,0.5040654761904761
Q2s,0.4909880952380953
AJo,0.6234583333333333
KJo,0.5949345238095238
QJo,0.5728869047619047
JJ,0.7710892857142857
JTs,0.5693035714285715
J9s,0.5466309523809524
J8s,0.5316190476190477
J7s,0.5152380952380953
J6s,0.495547619047619
J5s,0.4889523809523809
J4s,0.47764880952380956
J3s,0.4721309523809524
J2s,0.4613392857142857
ATo,0.615875
KTo,0.5903214285714287
QTo,0.5669583333333333
JTo,0.5452380952380952
TT,0.7418809523809523
T9s,0.5326428571428572
T8s,0.5136249999999999
T7s,0.49556547619047614
T6s,0.47927380952380955
T5s,0.4590238095238095
T4s,0.45375000000000004
T3s,0.4489583333333334
T2s,0.43858928571428574
A9o,0.5967083333333333
K9o,0.5639880952380952
Q9o,0.545345238095238
J9o,0.5236964285714285
T9o,0.5065952380952381
99,0.7139166666666666
98s,0.49744047619047616
97s,0.4834583333333334
96s,0.4655059523809524
95s,0.44873214285714286
94s,0.42788095238095236
93s,0.42386309523809523
92s,0.41277976190476195
A8o,0.5832857142857142
K8o,0.5457380952380952
Q8o,0.5260178571428572
J8o,0.5051190476190476
T8o,0.4873690476190477
98o,0.4724702380952381
88,0.6870476190476191
87s,0.4717797619047619
86s,0.45107142857142857
85s,0.4336904761904762
84s,0.41317857142857145
83s,0.40250595238095244
82s,0.3952440476190476
A7o,0.5740595238095239
K7o,0.5408095238095237
Q7o,0.5050297619047619
J7o,0.48501190476190476
T7o,0.4725119047619048
97o,0.4552261904761905
87o,0.4407559523809524
77,0.6571011904761905
76s,0.44181547619047623
75s,0.4261785714285715
74s,0.4083869047619048
73s,0.39145833333333335
72s,0.3706607142857143
A6o,0.5624285714285714
K6o,0.5319047619047619
Q6o,0.4952976190476191
J6o,0.4673035714285715
T6o,0.44851785714285713
96o,0.4353511904761905
86o,0.42414880952380957
76o,0.41413095238095243
66,0.6246547619047619
65s,0.4202857142857143
64s,0.40206547619047617
63s,0.3854226190476191
62s,0.3646190476190476
A5o,0.5636964285714285
K5o,0.5177202380952381
Q5o,0.49245833333333333
J5o,0.4633154761904762
T5o,0.43150000000000005
95o,0.4198928571428572
85o,0.40614880952380955
75o,0.3981964285714285
65o,0.39110119047619046
55,0.5972678571428572
54s,0.40136309523809527
53s,0.38782738095238095
52s,0.37076785714285715
A4o,0.5522678571428572
K4o,0.5112678571428572
Q4o,0.4785654761904762
J4o,0.4514880952380953
T4o,0.42567857142857146
94o,0.3988392857142857
84o,0.38450595238095236
74o,0.3782142857142857
64o,0.3720416666666667
54o,0.37129761904761904
44,0.5652321428571428
43s,0.3738928571428572
42s,0.3538928571428571
A3o,0.544375
K3o,0.5027916666666667
Q3o,0.4721011904761905
J3o,0.4423392857142857
T3o,0.4161607142857142
93o,0.3934940476190476
83o,0.3684761904761905
73o,0.35891666666666666
63o,0.35354761904761905
53o,0.3546904761904762
43o,0.3442559523809524
33,0.5374464285714285
32s,0.34996428571428567
A2o,0.533357142857143
K2o,0.4911904761904762
Q2o,0.46089285714285716
J2o,0.43445833333333334
T2o,0.40852976190476187
92o,0.384547619047619
82o,0.36148214285714286
72o,0.33702380952380956
62o,0.33240476190476187
52o,0.33482738095238096
42o,0.3264107142857143
32o,0.314625
22,0.5036547619047619
