hand1_str,hand2_str,equity_hand1,equity_hand2
AA,AKs,0.8711,0.12890000000000001
AA,AQs,0.8793,0.12070000000000003
AA,AJs,0.91935,0.08065
AA,ATs,0.92295,0.07704999999999995
AA,A9s,0.94025,0.05974999999999997
AA,A8s,0.88365,0.11634999999999995
AA,A7s,0.93695,0.06305000000000005
AA,A6s,0.9377,0.06230000000000002
AA,A5s,0.8703,0.12970000000000004
AA,A4s,0.8721,0.1279
AA,A3s,0.8799,0.12009999999999998
AA,A2s,0.9361,0.06389999999999996
AA,AKo,0.93375,0.06625000000000003
AA,KK,0.8199,0.18010000000000004
AA,KQs,0.8386,0.1614
AA,KJs,0.8283,0.17169999999999996
AA,KTs,0.83255,0.16745
AA,K9s,0.83565,0.16435
AA,K8s,0.84305,0.15695000000000003
AA,K7s,0.8378,0.1622
AA,K6s,0.82615,0.17384999999999995
AA,K5s,0.8447,0.1553
AA,K4s,0.851,0.14900000000000002
AA,K3s,0.8461,0.15390000000000004
AA,K2s,0.85695,0.14305
AA,AQo,0.9347,0.06530000000000002
AA,KQo,0.86285,0.13715
AA,QQ,0.81325,0.18674999999999997
AA,QJs,0.81645,0.18355
AA,QTs,0.81055,0.18945
AA,Q9s,0.8123,0.18769999999999998
AA,Q8s,0.8246,0.1754
AA,Q7s,0.8447,0.1553
AA,Q6s,0.8374,0.16259999999999997
AA,Q5s,0.83735,0.16264999999999996
AA,Q4s,0.82995,0.17005000000000003
AA,Q3s,0.84265,0.15735
AA,Q2s,0.8349,0.16510000000000002
AA,AJo,0.92595,0.07404999999999995
AA,KJo,0.8613,0.13870000000000005
AA,QJo,0.8465,0.15349999999999997
AA,JJ,0.82075,0.17925000000000002
AA,JTs,0.7954,0.2046
AA,J9s,0.78725,0.21275
AA,J8s,0.8045,0.1955
AA,J7s,0.8239,0.17610000000000003
AA,J6s,0.81835,0.18164999999999998
AA,J5s,0.81795,0.18205000000000005
AA,J4s,0.8418,0.1582
AA,J3s,0.83285,0.16715000000000002
AA,J2s,0.8348,0.1652
AA,ATo,0.92645,0.07355
AA,KTo,0.8627,0.13729999999999998
AA,QTo,0.83945,0.16054999999999997
AA,JTo,0.82835,0.17164999999999997
AA,TT,0.8151,0.18489999999999995
AA,T9s,0.77485,0.22514999999999996
AA,T8s,0.79405,0.20594999999999997
AA,T7s,0.80525,0.19474999999999998
AA,T6s,0.8196,0.1804
AA,T5s,0.83215,0.16785000000000005
AA,T4s,0.8254,0.17459999999999998
AA,T3s,0.83325,0.16674999999999995
AA,T2s,0.844,0.15600000000000003
AA,A9o,0.9282,0.07179999999999997
AA,K9o,0.873,0.127
AA,Q9o,0.8596,0.14039999999999997
AA,J9o,0.8296,0.1704
AA,T9o,0.81305,0.18694999999999995
AA,99,0.81105,0.18894999999999995
AA,98s,0.78115,0.21885
AA,97s,0.79235,0.20765
AA,96s,0.7969,0.20309999999999995
AA,95s,0.8243,0.17569999999999997
AA,94s,0.8414,0.15859999999999996
AA,93s,0.8382,0.16180000000000005
AA,92s,0.85065,0.14934999999999998
AA,A8o,0.92645,0.07355
AA,K8o,0.87965,0.12034999999999996
AA,Q8o,0.868,0.132
AA,J8o,0.85125,0.14875000000000005
AA,T8o,0.8269,0.17310000000000003
AA,98o,0.81645,0.18355
AA,88,0.8051,0.19489999999999996
AA,87s,0.7889,0.21109999999999995
AA,86s,0.7945,0.20550000000000002
AA,85s,0.8056,0.19440000000000002
AA,84s,0.8183,0.18169999999999997
AA,83s,0.8351,0.16490000000000005
AA,82s,0.8419,0.15810000000000002
AA,A7o,0.93515,0.06484999999999996
AA,K7o,0.8784,0.12160000000000004
AA,Q7o,0.885,0.11499999999999999
AA,J7o,0.86975,0.13024999999999998
AA,T7o,0.84845,0.15154999999999996
AA,97o,0.83305,0.16695000000000004
AA,87o,0.8183,0.18169999999999997
AA,77,0.7985,0.2015
AA,76s,0.77705,0.22294999999999998
AA,75s,0.80005,0.19994999999999996
AA,74s,0.7986,0.20140000000000002
AA,73s,0.8304,0.16959999999999997
AA,72s,0.8433,0.15669999999999995
AA,A6o,0.9397,0.06030000000000002
AA,K6o,0.86675,0.13324999999999998
AA,Q6o,0.8828,0.11719999999999997
AA,J6o,0.8801,0.1199
AA,T6o,0.86235,0.13765000000000005
AA,96o,0.8401,0.15990000000000004
AA,86o,0.82765,0.17235
AA,76o,0.8125,0.1875
AA,66,0.80245,0.19755
AA,65s,0.77805,0.22194999999999998
