hand1,hand2,flop,turn,river,flop_quality,flop_dynamic_score
"['Ah', 'As']","['Ad', 'Kh']","['Kd', 'Kc', '6c']",['Qd'],['4s'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ah', 'Ac']","['Ad', 'Qd']","['Th', '7c', '6c']",['Jd'],['2c'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Ac']","['Ad', 'Jd']","['Qc', '8h', '4s']",['2h'],['4c'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ac', 'Ah']","['As', 'Th']","['2h', '7s', '6s']",['3c'],['8h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'Ac']","['As', '9s']","['Qc', '8h', 'Ah']",['Jd'],['Qh'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ah', 'Ac']","['As', '8c']","['Jh', '8s', '5s']",['Qd'],['8h'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['As', 'Ah']","['Ac', '7c']","['9d', '5d', '6d']",['2s'],['7d'],"['Moderately connected', 'Monotone', 'Unpaired']",5.25
"['As', 'Ad']","['Ac', '6c']","['8d', 'Td', '4c']",['Qc'],['4s'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ac', 'As']","['Ah', '5c']","['5d', 'Qd', '3s']",['3d'],['Qc'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['As', 'Ah']","['Ac', '4c']","['7h', '3d', 'Jc']",['5d'],['8d'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ad', 'Ac']","['Ah', '3h']","['3s', 'Kd', '6c']",['As'],['2c'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Ad', 'Ac']","['As', '2c']","['5s', '8d', 'Ks']",['8c'],['3c'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Ac', 'Ah']","['As', 'Kd']","['Qc', 'Qs', '5s']",['5h'],['7h'],"['Disconnected', 'Two-tone', 'Paired']",2.5
"['Ah', 'Ad']","['Kh', 'Kc']","['2s', '3h', '9s']",['7s'],['Qs'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'Ac']","['Kd', 'Qd']","['Kh', 'Jh', '6d']",['Tc'],['9d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ah', 'As']","['Ks', 'Js']","['Jd', '2d', '4d']",['7h'],['8d'],"['Moderately connected', 'Monotone', 'Unpaired']",4.5
"['Ah', 'As']","['Kd', 'Td']","['2d', '6c', '3d']",['7s'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ah', 'Ac']","['Kc', '9c']","['Tc', 'Kh', '5s']",['Qh'],['2c'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['Ac', 'Ad']","['Kh', '8h']","['5h', '3s', 'Jh']",['7h'],['8d'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ad', 'Ac']","['Kc', '7c']","['4h', '3s', 'Th']",['2d'],['5h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Ad']","['Kc', '6c']","['Jh', '8c', '5d']",['4h'],['8d'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ad', 'As']","['Ks', '5s']","['7c', '6h', 'Js']",['Jd'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ac']","['Kd', '4d']","['3s', 'Ks', '3c']",['Qh'],['3h'],"['Disconnected', 'Two-tone', 'Paired', 'King high']",2.5
"['Ac', 'Ah']","['Kd', '3d']","['Td', '3h', 'Qc']",['Tc'],['4d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ac', 'Ad']","['Kc', '2c']","['6d', 'Qd', '3s']",['Kh'],['7d'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['Ad', 'Ac']","['As', 'Qd']","['Qs', '7d', '2h']",['Kd'],['Ts'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ad', 'Ac']","['Kd', 'Qs']","['8s', '4d', '8h']",['4h'],['6h'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ah', 'Ad']","['Qd', 'Qh']","['4c', '7s', '4h']",['9d'],['5c'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ac', 'As']","['Qh', 'Jh']","['Kh', '6d', '9c']",['3d'],['9s'],"['Disconnected', 'Rainbow', 'Unpaired', 'King high']",0.0
"['As', 'Ac']","['Qs', 'Ts']","['8c', '2h', '7c']",['5h'],['Js'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'As']","['Qh', '9h']","['Ac', '5h', '6h']",['Jd'],['7h'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['As', 'Ah']","['Qh', '8h']","['9c', '5s', 'Ac']",['7h'],['4d'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ah', 'Ac']","['Qs', '7s']","['Jh', 'Tc', '9s']",['Qc'],['Th'],"['Highly connected', 'Rainbow', 'Unpaired']",3.0
"['As', 'Ac']","['Qd', '6d']","['5s', 'Ad', '5h']",['Kh'],['3h'],"['Disconnected', 'Rainbow', 'Paired', 'Ace high']",1.0
"['Ac', 'Ah']","['Qd', '5d']","['8d', 'Ts', '9s']",['6c'],['9h'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['Ad', 'As']","['Qc', '4c']","['Jd', '3d', 'Th']",['6h'],['8h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ac', 'As']","['Qc', '3c']","['8d', 'Ad', '7c']",['Jc'],['5d'],"['Moderately connected', 'Two-tone', 'Unpaired', 'Ace high']",3.0
"['Ah', 'Ac']","['Qc', '2c']","['9c', 'Qh', '7s']",['Qs'],['6h'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ad', 'Ah']","['As', 'Jh']","['3s', '7h', '8s']",['Kh'],['Jd'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'As']","['Ks', 'Jd']","['6h', 'Qc', '8d']",['Kd'],['9d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ah', 'Ac']","['Qh', 'Js']","['8s', '5h', '9d']",['2s'],['8d'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ah', 'Ad']","['Js', 'Jh']","['2h', '5c', '8s']",['Kd'],['Qc'],"['Disconnected', 'Rainbow', 'Unpaired']",0.75
"['Ac', 'As']","['Jh', 'Th']","['9s', '9d', '4c']",['Kd'],['2d'],"['Disconnected', 'Rainbow', 'Paired']",1.75
"['Ad', 'Ah']","['Js', '9s']","['Ac', 'Qh', '3d']",['3c'],['Td'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['As', 'Ac']","['Jc', '8c']","['2c', '3d', 'Kh']",['6c'],['5h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'King high']",1.5
"['Ah', 'Ac']","['Jc', '7c']","['4d', '2h', 'Qd']",['Ks'],['4h'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ah', 'Ad']","['Jh', '6h']","['Js', '3d', '2h']",['Th'],['2d'],"['Moderately connected', 'Rainbow', 'Unpaired']",1.5
"['Ad', 'As']","['Js', '5s']","['8d', '9s', 'Ts']",['9d'],['Kc'],"['Highly connected', 'Two-tone', 'Unpaired']",4.5
"['As', 'Ah']","['Jd', '4d']","['Jh', '5h', 'Ks']",['8d'],['Kd'],"['Moderately connected', 'Two-tone', 'Unpaired', 'King high']",3.0
"['Ad', 'Ac']","['Jc', '3c']","['Th', '2h', 'Kh']",['Ks'],['6s'],"['Disconnected', 'Monotone', 'Unpaired', 'King high']",3.0
"['Ad', 'Ah']","['Jd', '2d']","['Kc', '6c', 'Td']",['8h'],['5c'],"['Disconnected', 'Two-tone', 'Unpaired', 'King high']",1.5
"['Ah', 'Ad']","['Ac', 'Th']","['7h', '3s', '8d']",['7c'],['6h'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ah', 'As']","['Kd', 'Th']","['Qd', '6s', '3s']",['3c'],['Jd'],"['Disconnected', 'Two-tone', 'Unpaired']",1.5
"['As', 'Ac']","['Qc', 'Td']","['Js', 'Ad', '5d']",['5c'],['6d'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ah', 'Ad']","['Js', 'Th']","['7c', '3d', '5c']",['Jh'],['Jc'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ad', 'Ah']","['Tc', 'Th']","['Kc', '7h', 'As']",['9c'],['6c'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['Ah', 'As']","['Ts', '9s']","['9h', '8s', '5c']",['7s'],['Qd'],"['Moderately connected', 'Rainbow', 'Unpaired']",2.25
"['Ah', 'As']","['Td', '8d']","['2c', 'Jc', 'Qs']",['5d'],['Th'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.0
"['Ad', 'Ac']","['Ts', '7s']","['2d', '4d', '3c']",['Qh'],['Jd'],"['Highly connected', 'Two-tone', 'Unpaired']",5.25
"['Ad', 'As']","['Ts', '6s']","['3s', '4c', '7c']",['Jh'],['Th'],"['Moderately connected', 'Two-tone', 'Unpaired']",3.75
"['Ad', 'Ac']","['Th', '5h']","['4h', '7s', 'Td']",['5s'],['8d'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ac', 'As']","['Ts', '4s']","['Ah', '4c', '7c']",['3h'],['6c'],"['Disconnected', 'Two-tone', 'Unpaired', 'Ace high']",1.5
"['Ad', 'Ah']","['Td', '3d']","['7c', '3s', 'Jh']",['Ts'],['7d'],"['Disconnected', 'Rainbow', 'Unpaired']",0.0
"['Ac', 'As']","['Ts', '2s']","['Ad', '4s', '3h']",['5h'],['7h'],"['Moderately connected', 'Rainbow', 'Unpaired', 'Ace high']",1.5
"['As', 'Ac']","['Ah', '9d']","['6h', '7h', '4h']",['Qd'],['Jh'],"['Highly connected', 'Monotone', 'Unpaired']",6.75
